Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1700127746.333248,0.0279999990016222,0.0,0.0,0.0,0.0,0.0
1700127746.333274,0.041999999433755875,0.0,0.0,0.0,0.0,0.0
1700127746.3538103,0.0559999980032444,0.0,0.0,0.0,0.0,0.0
1700127746.3742578,0.07000000029802322,0.0,0.0,0.0,0.0,0.0
1700127746.393454,0.08399999886751175,0.0,0.0,0.0,0.0,0.0
1700127746.4138296,0.09799999743700027,0.0,0.0,0.0,0.0,0.0
1700127746.4341714,0.1119999960064888,0.0,0.0,0.0,0.0,0.0
1700127747.6075106,0.12600000202655792,0.0,0.0,0.0,0.0,0.0
1700127747.6324158,0.14000000059604645,0.0,0.0,0.0,0.0,0.0
1700127747.654928,0.15399999916553497,0.0,0.0,0.0,0.0,0.0
1700127747.6813056,0.1679999977350235,0.0,0.0,0.0,0.0,0.0
1700127747.7227707,0.18199999630451202,0.0,0.0,0.0,0.0,0.0
1700127747.7482126,0.19599999487400055,0.0,0.0,0.0,0.0,0.0
1700127747.784345,0.20999999344348907,0.0,0.0,0.0,0.0,0.0
1700127747.8162801,0.2239999920129776,0.0,0.0,0.0,0.0,0.0
1700127747.8435688,0.23799999058246613,0.0,0.0,0.0,0.0,0.0
1700127747.870584,0.25200000405311584,0.0,0.0,0.0,0.0,0.0
1700127747.8927693,0.26600000262260437,0.0,0.0,0.0,0.0,0.0
1700127747.919214,0.2800000011920929,0.0,0.0,0.0,0.0,0.0
1700127747.9454954,0.2939999997615814,0.0,0.0,0.0,0.0,0.0
1700127747.9754815,0.30799999833106995,0.0,0.0,0.0,0.0,0.0
1700127748.0008411,0.32199999690055847,0.0,0.0,0.0,0.0,0.0
1700127748.0295496,0.335999995470047,0.0,0.0,0.0,0.0,0.0
1700127748.061692,0.3499999940395355,0.0,0.0,0.0,0.0,0.0
1700127748.089564,0.36399999260902405,0.0,0.0,0.0,0.0,0.0
1700127748.1147149,0.3779999911785126,0.0,0.0,0.0,0.0,0.0
1700127748.1446028,0.3919999897480011,0.0,0.0,0.0,0.0,0.0
1700127748.1694586,0.4059999883174896,0.0,0.0,0.0,0.0,0.0
1700127748.2022195,0.41999998688697815,0.0,0.0,0.0,0.0,0.0
1700127748.226452,0.4339999854564667,0.0,0.0,0.0,0.0,0.0
1700127748.288447,0.4479999840259552,0.0,0.0,0.0,0.0,0.0
1700127748.2922733,0.4619999825954437,0.0,0.0,0.0,0.0,0.0
1700127748.303404,0.47599998116493225,0.0,0.0,0.0,0.0,0.0
1700127748.331291,0.4899999797344208,0.0,0.0,0.0,0.0,0.0
1700127748.353964,0.5040000081062317,0.0,0.0,0.0,0.0,0.0
1700127748.381527,0.5180000066757202,0.0,0.0,0.0,0.0,0.0
1700127748.4055762,0.5320000052452087,0.0,0.0,0.0,0.0,0.0
1700127748.4334536,0.5460000038146973,0.0,0.0,0.0,0.0,0.0
1700127748.469884,0.5600000023841858,0.0,0.0,0.0,0.0,0.0
1700127748.4972258,0.5740000009536743,0.0,0.0,0.0,0.0,0.0
