Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
2.301,1.0,0.0,0.0,0.0,0.0,0.0
2.3970000000000002,1.0,0.0,0.0,0.0,0.0,0.0
2.5,1.0,0.0,0.0,0.0,0.0,0.0
2.598,1.0,0.0,0.0,0.0,0.0,0.0
2.7,1.0,0.0,0.0,0.0,0.0,0.0
2.8,1.0,0.0,0.0,0.0,0.0,0.0
2.901,1.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0
3.103,1.0,0.0,0.0,0.0,0.0,0.0
3.2,1.0,0.0,0.0,0.0,0.0,0.0
3.3,1.0,0.0,0.0,0.0,0.0,0.0
3.4,1.0,0.0,0.0,0.0,0.0,0.0
3.501,1.0,0.0,0.0,0.0,0.0,0.0
3.596,1.0,0.0,0.0,0.0,0.0,0.0
3.702,1.0,0.0,0.0,0.0,0.0,0.0
3.802,1.0,0.0,0.0,0.0,0.0,0.0
3.9,1.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.0,0.0,0.0,0.0,0.0
4.1,1.0,0.0,0.0,0.0,0.0,0.0
4.203,1.0,0.0,0.0,0.0,0.0,0.0
4.3,1.0,0.0,0.0,0.0,0.0,0.0
4.401,1.0,0.0,0.0,0.0,0.0,0.0
4.5,1.0,0.0,0.0,0.0,0.0,0.0
4.6,1.0,0.0,0.0,0.0,0.0,0.0
4.7010000000000005,1.0,0.0,0.0,0.0,0.0,0.0
4.8,1.0,0.0,0.0,0.0,0.0,0.0
4.9,1.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,0.0,0.0,0.0,0.0,0.0
5.1,1.0,0.0,0.0,0.0,0.0,0.0
5.2,1.0,0.0,0.0,0.0,0.0,0.0
5.301,0.898000180721283,0.0,0.0,0.0,0.0,0.0
5.4,0.8460001945495605,0.0,0.0,0.0,0.0,0.0
5.5,0.7940002083778381,0.0,0.0,0.0,0.0,0.0
5.595,0.7420002222061157,0.0,0.0,0.0,0.0,0.0
5.7,0.6900002360343933,0.0,0.0,0.0,0.0,0.0
5.8,0.6380002498626709,0.0,0.0,0.0,0.0,0.0
5.9,0.5860002636909485,0.0,0.0,0.0,0.0,0.0
6.0,0.5340002775192261,0.0,0.0,0.0,0.0,0.0
6.101,0.48200029134750366,0.0,0.0,0.0,0.0,0.0
6.2,0.43000030517578125,0.0,0.0,0.0,0.0,0.0
6.301,0.37800031900405884,0.0,0.0,0.0,0.0,0.0
6.402,0.3260003328323364,0.0,0.0,0.0,0.0,0.0
6.5,0.274000346660614,0.0,0.0,0.0,0.0,0.0
6.6,0.2220003455877304,0.0,0.0,0.0,0.0,0.0
6.699,0.1700003445148468,0.0,0.0,0.0,0.0,0.0
6.8,0.1180003434419632,0.0,0.0,0.0,0.0,0.0
6.904,0.06600034236907959,0.0,0.0,0.0,0.0,0.0
6.995,0.014000341296195984,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.2,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.298,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.401,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.5,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.599,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.7,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.801,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
7.902,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.001,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.1,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.202,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.3,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.403,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.502,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.602,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.701,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.8,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
8.904,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.0,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.101,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.2,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.301,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.4,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.499,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.601,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.7,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.799,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
9.899000000000001,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.001,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.101,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.2,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.3,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.398,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.5,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.601,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.7,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.8,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.9,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
10.999,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
11.101,0.0,0.0,0.0,0.0,0.0,0.39269908169872414
11.2,0.05000000074505806,0.0,0.0,0.0,0.0,0.0
11.3,0.10000000149011612,0.0,0.0,0.0,0.0,0.0
11.4,0.15000000596046448,0.0,0.0,0.0,0.0,0.0
11.5,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
11.599,0.25,0.0,0.0,0.0,0.0,0.0
